mergedTuple,Entry,KE (MeV),px,py,pz,KE,px,py,pz
81,8,1935.77,407.43,-181.86,1988.63,234.09,-616.94,227.23,248.43
81,9,4970.15,-369.75,-538.38,5031.85,234.53,348.76,569.17,222.25
81,10,5342.76,700.06,17.81,5401.54,295.51,-6.97,403.59,691.92
81,15,4898.95,-248.37,535.95,4967.85,142.24,32.96,-269.9,461.67
81,16,2214.2,130.79,525.36,2252.67,148.11,-9.68,-305.34,454.38
81,19,6082.62,424.76,-248.91,6167.11,171.5,-327.8,334.22,363.31
81,20,3519.88,-321.85,-515.64,3572.01,173.5,343.33,407.09,268.33
81,22,1750.54,-512.7,-273.35,1759.1,222.45,465.07,166.48,472.01
81,24,6474.94,136.55,-461.52,6561.47,202.8,270.51,453.42,377.9
81,26,4635.96,0.75,-670.23,4692.18,189.92,135.03,525.07,313.72
81,27,4541.36,-436.96,5.76,4624.57,213.66,577.96,-230.61,243.43
81,28,4649.31,-431.01,472.88,4709.89,139.84,239.55,-104.2,462.21
81,30,6223.78,-39.71,487.45,6308.98,246.65,217.61,-501.5,474.02
81,31,3292.9,442.95,-52.28,3366.86,193.39,-112.27,-249.02,570.59
81,37,4003.66,-478.57,124.2,4077.45,344,770.07,-93.16,402.48
81,39,6478.86,157.5,-591.33,6554.52,263.9,-74.71,646.69,375.4
81,40,2982.53,467.79,-54.72,3049.59,196.83,-430.23,119.16,456.84
81,43,4859.61,-465.94,-291.07,4933,340.78,401.98,427.74,641.01
82,1,2519.27,479.23,-326.09,2557.29,150.68,-427.45,106.91,333.51
82,3,6219.88,652.15,127.47,6289,218.34,-569.02,20.32,364.8
82,5,5435.51,-198.16,587.33,5504.72,423.59,-95.47,-762.42,619.43
82,6,6150.11,-8.65,487.78,6235.17,209.9,114.81,-352.38,548.15
82,8,4630.12,366.88,-218.45,4714.66,111.12,-184.41,325.28,284.59
82,9,4551.99,-517.46,-444.13,4605.59,499.99,91.1,651.11,869.32
82,10,3584.25,-620.69,274.29,3624.78,345.96,197.83,-15.98,854
