date,time,LE1,TE1,LE2,TE2,LE3,TE3,LE4,TE4
210622,60057.73949,19,45,14,46,22,42,26,46
210622,60064.2118,11,26,9,35,17,35,16,37
210622,60065.53592,20,36,16,37,23,41,26,42
210622,60070.08419,25,53,21,68,28,55,42,65
210622,60091.32321,23,40,21,39,25,44,28,48
210622,60134.71743,9,29,3,28,13,29,14,34
210622,60167.91428,1,23,2,17,6,22,8,27
210622,60173.46896,20,40,20,41,27,46,28,45
210622,60177.43964,15,37,17,36,18,44,25,42
210622,60177.91793,0,21,2,24,7,31,10,31
210622,60184.72039,10,28,6,29,16,31,13,31
210622,60197.77617,8,26,6,26,14,28,13,33
210622,60202.08155,34,50,30,53,36,54,41,59
210622,60203.12046,19,43,16,51,25,43,27,41
210622,60204.34884,11,46,16,32,21,39,23,43
210622,60204.63458,7,30,1,27,12,31,13,33
210622,60205.2337,24,43,21,40,28,52,29,59
210622,60206.4693,12,33,7,27,18,33,17,39
210622,60219.50821,19,39,13,41,20,41,24,42
210622,60244.04419,36,51,30,60,41,53,40,58
210622,60249.46834,23,35,20,29,28,45,28,48
210622,60253.73855,16,36,8,36,14,38,22,39
210622,60264.01331,30,49,26,46,31,51,35,52
210622,60273.96642,2,23,0,19,9,26,7,30
210622,60275.90743,21,39,16,42,25,45,25,41
210622,60276.19162,11,26,7,30,14,34,19,36
210622,60283.83174,33,49,30,51,39,53,35,66
210622,60292.59662,20,42,19,41,26,40,28,46
210622,60296.21327,7,29,1,26,13,27,12,33
210622,60301.90469,20,38,17,37,24,37,25,46
210622,60303.13831,9,25,4,26,7,-1,7,-1
210622,60307.95896,2,24,2,20,8,25,8,31
210622,60308.11755,7,37,11,28,14,37,18,37
210622,60309.79285,20,36,16,36,24,41,27,44
210622,60312.31842,32,53,31,53,37,55,39,56
210622,60312.95239,4,27,6,23,13,26,13,35
210622,60323.60724,21,41,24,58,32,47,31,53
210622,60334.65544,4,26,0,23,8,34,9,30
210622,60357.76787,14,37,14,35,22,35,20,41
210622,60358.43946,22,47,22,41,30,45,28,48
210622,60371.24426,12,42,12,44,18,35,23,45
210622,60376.48837,29,47,21,50,29,50,35,53
210622,60406.52492,8,30,6,36,17,36,18,39
210622,60409.97951,20,36,10,25,21,37,23,40
210622,60410.06871,22,53,19,56,28,46,29,49
210622,60410.21265,31,56,29,48,36,53,37,58
210622,60414.67849,31,55,30,51,38,52,38,56
210622,60415.46441,17,34,14,29,22,43,22,42
210622,60427.49884,23,-1,19,-1,31,54,37,46
210622,60432.56717,22,41,21,40,29,43,28,51
210622,60433.30155,21,39,18,43,27,41,24,50
210622,60434.49071,18,34,14,37,23,38,24,41
210622,60434.94151,6,29,4,36,12,29,14,34
210622,60437.91408,25,46,22,47,31,50,32,53
210622,60450.18194,15,38,17,38,24,39,25,47
210622,60453.67569,14,34,11,37,17,45,22,41
210622,60457.26419,9,32,8,31,13,35,19,34
210622,60462.46404,11,27,4,28,13,29,17,35
210622,60469.30799,8,41,11,31,16,39,19,38
210622,60481.09367,24,36,15,42,22,45,27,46
210622,60491.75173,12,32,13,35,20,33,21,41
210622,60496.62723,24,45,22,46,29,48,31,51
210622,60501.38382,37,53,28,55,40,53,40,59
210622,60514.99664,11,32,9,29,16,38,17,37
210622,60515.76909,8,27,6,28,14,30,11,35
210622,60518.34621,8,22,5,22,10,37,9,41
210622,60522.16805,8,19,2,22,8,30,14,32
210622,60524.52015,35,51,29,50,37,57,37,57
210622,60526.0802,28,61,24,62,32,55,36,55
210622,60528.60052,25,40,24,41,35,59,37,62
210622,60539.38873,22,40,18,39,28,40,27,48
210622,60544.09498,21,38,18,39,23,45,29,42
210622,60551.73912,26,46,25,43,34,50,32,40
210622,60552.42429,27,41,24,44,33,49,30,52
210622,60561.83131,23,41,19,40,28,44,28,48
210622,60563.66927,34,49,24,41,36,53,37,61
210622,60583.8822,1,22,1,22,8,21,10,29
210622,60586.61128,10,27,1,16,13,34,15,36
210622,60596.11272,26,44,21,48,28,48,32,50
210622,60604.19725,1,-1,0,-1,7,44,9,43
210622,60615.30973,21,53,18,56,25,50,27,56
210622,60630.21587,12,38,10,33,19,38,19,43
210622,60635.48289,24,48,26,46,36,47,30,58
210622,60641.65182,17,37,14,35,19,38,25,41
210622,60643.54627,12,26,8,27,14,32,16,35
210622,60645.66126,8,24,3,25,11,26,12,32
210622,60651.76298,17,34,15,33,24,41,26,42
210622,60653.59643,19,43,15,50,23,41,27,45
210622,60667.25237,25,45,23,42,30,48,32,51
210622,60685.46622,24,35,16,42,28,39,29,48
210622,60689.89017,27,45,22,43,31,51,34,46
210622,60691.97534,16,49,11,49,21,37,21,43
210622,60694.7579,20,35,15,37,25,43,23,45
210622,60700.57458,3,28,4,21,10,25,10,29
210622,60703.8692,11,28,7,33,15,36,19,37
210622,60712.95468,13,36,12,39,17,40,23,35
210622,60731.78945,29,59,33,54,35,65,40,63
210622,60740.5391,30,51,29,53,37,52,39,55
210622,60748.8745,11,28,11,32,18,32,19,37
210622,60751.22436,20,36,16,38,24,38,25,40
210622,60756.36378,26,46,21,47,28,55,34,50
210622,60765.0322,18,36,13,36,20,37,24,42
210622,60772.60292,14,37,11,36,17,39,21,45
210622,60774.72057,20,45,22,39,24,43,29,58
210622,60790.89897,11,25,7,29,13,33,17,35
210622,60792.16104,20,42,22,39,26,45,29,47
210622,60798.54308,27,43,23,52,30,50,33,54
210622,60807.16931,24,41,19,48,26,46,28,57
210622,60811.08714,12,26,7,30,13,31,16,33
210622,60813.70969,29,50,28,47,35,52,36,57
210622,60816.37959,26,49,29,46,35,51,34,56
210622,60820.97773,8,36,6,32,13,28,16,34
210622,60839.34879,16,34,14,34,18,46,24,45
210622,60843.00031,20,31,10,41,17,41,22,52
210622,60854.7008,8,34,5,38,14,34,14,34
210622,60867.37697,14,32,9,33,18,32,20,38
210622,60869.14534,14,39,9,44,20,37,20,41
210622,60870.54296,20,41,16,42,23,43,26,48
210622,60897.31442,20,36,15,42,24,42,24,45
210622,60905.38162,30,45,26,46,33,54,35,56
210622,60914.4,8,51,5,-1,16,39,14,47
210622,60920.84252,16,32,12,33,19,34,25,37
210622,60927.75804,32,62,31,59,42,56,41,59
210622,60928.67417,20,38,17,38,29,41,25,54
210622,60932.66424,9,33,3,36,12,33,16,35
210622,60937.76407,15,34,12,35,17,38,21,48
210622,60943.07485,5,26,4,27,10,27,12,28
210622,60945.98935,30,48,25,49,35,49,36,51
210622,60950.97105,17,41,18,41,26,42,28,44
210622,60952.12619,26,46,22,47,31,47,28,49
210622,60957.35064,32,-1,28,-1,40,56,41,57
210622,60957.55751,29,45,25,49,33,50,34,55
210622,60960.67892,4,27,6,27,13,26,14,35
210622,60968.68644,3,21,0,23,11,20,6,31
210622,60976.78567,26,47,21,44,31,45,31,52
210622,60981.92946,1,27,0,20,6,24,11,26
210622,60987.30728,7,33,5,38,15,30,18,28
210622,60995.22477,8,38,6,35,13,36,14,41
210622,61008.02242,5,-1,3,-1,10,-1,11,-1
210622,61014.40163,3,22,1,24,10,27,8,31
210622,61024.64898,13,35,14,32,22,38,21,43
210622,61033.63192,6,21,2,21,11,26,10,32
210622,61037.52542,7,26,4,26,14,30,11,36
210622,61051.92638,33,50,27,52,37,51,39,56
210622,61053.20504,4,20,1,21,9,27,9,28
210622,61061.15604,28,56,24,56,31,61,31,62
210622,61061.78114,14,35,8,39,19,37,19,41
210622,61070.94393,33,49,28,51,38,52,40,58
210622,61096.56435,11,34,9,35,15,36,16,36
210622,61107.97541,35,53,30,54,40,55,42,59
210622,61114.9761,16,51,14,51,21,50,22,57
210622,61140.48577,18,43,20,42,24,41,29,44
210622,61150.1335,12,35,11,30,19,35,18,39
210622,61152.38637,30,47,27,49,34,49,36,56
210622,61157.12419,39,53,31,57,41,57,42,57
210622,61167.84784,9,29,7,24,13,30,14,39
210622,61177.24049,18,36,16,36,24,43,23,59
210622,61185.09955,27,46,22,48,34,49,31,60
210622,61188.16499,30,57,29,57,34,69,37,62
210622,61214.00178,23,41,19,40,28,40,23,54
210622,61215.05885,27,47,25,47,30,48,38,50
210622,61218.923,25,45,22,45,32,46,30,52
210622,61228.14544,12,32,10,30,14,37,21,39
210622,61232.25788,15,32,12,31,16,43,23,38
210622,61250.67857,2,24,1,18,9,22,7,30
210622,61261.18347,13,30,8,29,16,32,17,35
210622,61275.94427,18,37,14,36,20,43,23,47
210622,61304.9555,17,31,14,34,22,33,21,44
210622,61305.90244,31,46,27,48,33,55,38,53
210622,61306.09468,26,45,22,45,30,50,33,49
210622,61321.62855,25,44,23,44,30,42,29,57
210622,61326.51368,10,25,6,29,12,34,14,31
210622,61329.99286,22,37,16,38,25,41,27,45
210622,61336.34669,23,46,23,42,29,45,28,54
210622,61343.26714,17,36,14,36,23,39,21,40
210622,61354.54277,14,28,4,33,15,33,18,35
210622,61354.61018,17,37,17,37,23,47,26,48
210622,61360.99229,23,45,16,57,27,46,29,49
210622,61375.084,12,28,6,32,15,43,18,44
210622,61378.32643,15,41,20,34,23,43,26,43
210622,61381.48442,20,35,15,35,23,38,25,49
210622,61400.31429,33,52,29,58,38,55,39,59
210622,61407.64457,21,-1,21,-1,30,50,31,54
210622,61412.64234,32,79,30,79,40,61,42,64
210622,61413.12728,4,-1,3,-1,12,47,15,47
210622,61421.42235,23,51,23,58,27,55,31,57
210622,61426.62863,24,40,17,40,26,48,30,47
210622,61426.8508,21,41,17,47,27,44,27,55
210622,61427.81312,3,21,1,22,9,21,8,27
210622,61433.261,8,27,4,25,13,26,7,23
210622,61464.3896,3,28,4,19,9,27,11,29
210622,61464.53642,19,51,22,45,25,46,31,54
210622,61467.67957,32,51,25,52,35,53,36,63
210622,61470.86995,7,18,2,24,9,25,9,29
210622,61484.00022,19,-1,16,-1,27,51,30,47
210622,61492.42268,20,43,19,46,28,39,26,50
210622,61499.70891,29,48,26,58,36,51,32,56
210622,61504.86917,30,48,31,47,40,50,36,58
210622,61505.10712,4,19,1,25,7,29,13,26
210622,61508.30895,7,26,7,23,15,32,14,32
210622,61508.65573,12,38,10,37,15,46,23,42
210622,61515.6132,22,43,18,41,28,41,28,45
210622,61523.20931,29,46,27,47,33,48,35,57
210622,61525.98568,12,32,9,29,20,32,19,33
210622,61526.88489,27,56,28,53,30,50,38,56
210622,61531.99113,36,50,30,52,35,62,42,55
210622,61533.31396,16,29,12,45,20,43,22,39
210622,61533.59621,13,31,8,29,17,36,15,42
210622,61537.90849,8,22,3,25,12,27,11,35
210622,61541.48454,16,35,8,36,14,41,23,38
210622,61544.2021,23,42,19,50,27,46,31,50
210622,61545.21628,9,26,6,25,11,34,13,47
210622,61549.43759,16,37,15,35,20,36,23,45
210622,61550.14973,32,48,26,52,35,53,36,55
210622,61556.72917,33,59,31,62,42,55,42,58
210622,61557.92951,34,57,31,59,32,51,39,66
210622,61563.46171,12,32,7,34,13,37,21,37
210622,61563.48507,32,52,29,53,41,50,35,68
210622,61595.94684,6,23,2,22,10,28,10,37
210622,61596.45507,27,45,25,43,32,51,34,54
210622,61602.33377,22,41,18,41,26,40,29,45
210622,61604.66338,11,36,7,44,17,33,18,39
210622,61605.68003,27,64,26,-1,32,-1,32,-1
210622,61612.55519,22,47,22,55,28,55,27,63
210622,61616.83838,11,29,10,30,21,33,19,36
210622,61629.01818,3,23,1,22,6,27,9,25
210622,61633.25016,17,34,10,37,21,36,22,42
210622,61635.13713,29,48,27,51,34,50,36,52
210622,61643.6614,3,26,1,22,7,25,10,32
210622,61650.97053,5,31,6,25,11,35,12,43
210622,61654.32055,15,37,13,43,21,36,21,42
210622,61657.49298,30,56,28,60,38,54,37,55
210622,61674.66079,12,35,10,31,16,37,20,39
210622,61686.48351,6,22,3,15,12,18,8,35
210622,61688.30649,23,38,21,41,25,46,29,48
210622,61689.05104,23,48,21,46,28,60,33,56
210622,61697.23954,3,23,2,23,9,26,12,29
210622,61699.24524,26,50,28,46,31,53,34,61
210622,61700.23675,20,36,14,39,22,41,22,44
210622,61702.39812,12,36,13,29,18,35,20,41
210622,61704.9853,7,27,4,28,9,36,12,46
210622,61710.90478,26,43,22,44,27,46,33,50
210622,61710.9914,23,47,22,44,27,58,30,51
210622,61711.30351,15,33,9,33,20,38,18,42
210622,61711.72749,27,47,23,46,29,49,34,54
210622,61722.90823,13,32,8,34,14,35,19,36
210622,61731.99066,5,27,10,25,14,31,13,33
210622,61757.02597,23,49,19,52,30,46,32,44
210622,61762.14328,24,58,24,47,29,58,33,54
210622,61781.78303,30,57,26,68,33,55,41,56
210622,61782.17281,29,45,25,47,34,52,37,56
210622,61784.72602,14,36,8,37,18,47,17,40
210622,61805.49348,21,35,15,38,25,41,25,47
