mergedTuple,Entry,Bg=1,Slice No.,KE (MeV),v/c,px,py,pz,KE,v/c,px,py,pz
79,5,,6,"1,849.41",0.998555791,-360.3550068,188.5979262,"1,908.74",312.8258163,0.661546016,18.38973507,84.98608668,822.8975668
79,6,1,,,,,,,,,,,
79,7,,9,"3,797.55",0.999637982,389.2740248,403.4627091,"3,860.64",277.9370959,0.636324518,-135.1795925,-476.0410719,594.7860093
79,8,,5,"5,901.19",0.999847179,414.6608982,281.1676452,"5,984.34",261.3621045,0.623175024,52.622667,-627.5608165,402.5217191
79,9,1,,,,,,,,,,,
79,10,,24,"4,213.90",0.999704425,519.6596473,-435.5005648,"4,264.05",222.4864867,0.588795958,-518.6831393,284.839241,341.6420548
79,11,,1,"2,882.40",0.999382133,443.5804671,827.3817135,"2,834.12",230.04,0.595902336,-356.9403678,9.122719956,597.47
79,12,1,,,,,,,,,,,
79,13,1,,,,,,,,,,,
79,14,1,,,,,,,,,,,
79,15,,5,"2,247.76",0.999003654,-263.5652494,-511.1319909,"2,278.97",327.6857944,0.671394436,78.9364869,412.5118669,738.7283132
79,16,,5,"4,156.39",0.999696393,-234.1183388,144.9837289,"4,251.19",162.252222,0.522675369,372.4717202,-295.4324898,323.5667067
79,17,,10,"5,801.84",0.999841994,221.0338081,425.8377782,"5,886.39",216.59,0.583085672,4.792543023,-413.7385674,531.06
79,18,,10,"3,437.78",0.999560706,536.8367416,-62.79285715,"3,499.74",244.57,0.608979878,-393.3478166,-167.2104236,579.61
79,19,,11,"3,473.91",0.999569533,-22.28522311,312.492631,"3,563.63",250.5066958,0.614103275,279.2787193,257.8866133,623.058631
79,20,1,,,,,,,,,,,
79,21,1,,,,,,,,,,,
79,22,,13,"6,325.48",0.999866682,632.463925,58.39450999,"6,398.18",402.027181,0.71415676,-424.754625,40.65261468,856.5977581
79,23,,13,"4,789.14",0.999769831,-435.1656631,61.25192678,"4,873.24",215.81,0.582321445,-33.30758655,-184.4089196,645.23
79,24,,7,5301.403643,0.999811387,516.9639054,-443.6255457,5362.28683,245.85,0.610089735,-385.3373938,239.3733636,562.02
79,25,,2,"5,528.13",0.999826265,480.5118822,484.7968404,"5,590.63",316.75,0.66419373,-461.0126832,-407.6120421,562.02
79,26,1,,,,,,,,,,,
79,27,,1,5965.258707,0.999850388,159.7667179,439.5237943,6051.306404,215.6765012,0.582189846,-134.2064498,-459.8595154,470.7901065
79,28,,1,"6,215.47",0.999862,359.7410793,-508.7502454,"6,288.80",211.38,0.577919248,-356.0447649,486.1813561,279.44
79,29,1,,,,,,,,,,,
79,30,,12,"3,059.19",0.999449263,523.6564677,395.6162874,"3,093.59",122.7318614,0.466928426,-411.014635,-34.35376241,274.2168315
79,31,1,,,,,,,,,,,
79,32,1,,,,,,,,,,,
79,33,1,,,,,,,,,,,
79,34,1,,,,,,,,,,,
79,35,,6,"5,739.34",0.999838596,-90.08345441,-414.2980923,"5,827.99",243.39,0.607940312,12.48612923,622.1911152,358.54
79,36,1,,,,,,,,,,,
79,37,,8,"3,893.50",0.99965515,-336.0237953,358.1169925,"3,966.84",134.26,0.484500943,227.9643741,-31.20607472,465.78
79,38,,1,"3,438.29",0.999560831,-151.6801962,296.5666765,"3,526.03",225.5927689,0.591746716,358.5279175,-532.7467182,248.4809818
79,39,,13,"3,504.93",0.9995769,-406.3912506,-89.24671284,"3,584.33",197.86,0.563954424,593.6182891,49.42871557,235.6
79,40,1,,,,,,,,,,,
79,41,1,,,,,,,,,,,
79,42,,14,5640.801022,0.999833013,-642.2392489,-148.5227129,5706.897067,179.3198103,0.543345833,-28.79501233,506.0653927,334.1081023
79,43,1,,,,,,,,,,,
79,44,,12,4660.005326,0.999757186,-430.5679617,-462.7163394,4721.732265,251.6544885,0.615080622,286.5932404,-99.93394737,665.8162831
79,45,,10,"5,925.35",0.999848401,-152.1857801,742.0068675,"5,981.67",247.11,0.611187828,200.0073096,-369.2237706,590.19
79,46,,6,"5,582.44",0.999829568,407.9979608,-417.56547,"5,656.43",261.8507773,0.623574562,-311.5791722,556.4211249,391.2950791
79,47,,2,"3,721.24",0.999623394,-238.3164955,342.955173,"3,801.93",246.45,0.610615699,469.6450389,-467.52516,289.72
79,48,,5,"5,947.79",0.999849523,18.80646006,-555.0726975,"6,026.34",146.758962,0.502274507,134.0451715,316.7458494,422.5659292
79,49,,1,"4,364.08",0.99972396,-252.4306673,348.6506788,"4,447.06",146.1990382,0.501504911,8.421957758,-135.2981305,526.56
80,0,1,,,,,,,,,,,
80,1,1,,,,,,,,,,,
80,2,,15,"3,011.34",0.999432217,-444.427932,316.9039391,"3,066.37",137.17,0.488752337,111.7666891,257.1547846,444.43
80,3,,,"4,603.53",0.999751325,720.5462381,-69.15276994,"4,651.37",235.9432068,0.60130909,-136.3749177,407.7357452,559.8679279
80,4,,,"2,197.03",0.998959239,-512.5795858,423.160073,"2,201.48",429.3622054,0.727608761,17.54954714,616.0845074,781.0040293
80,5,,,"6,531.30",0.999874823,402.1146202,-301.2303801,"6,616.42",702.2106155,0.820338838,-400.218899,409.6075012,1217.576852
80,6,,,"3,907.04",0.999657475,697.6572353,-65.69269185,"3,948.97",253.21,0.61640097,-521.5884357,207.4314521,473.35
80,7,,,"3,792.09",0.999636966,-367.9645777,510.6951862,"3,844.48",227.2915392,0.593344306,0.157444008,235.8642037,649.9449391
80,8,,,"7,445.53",0.999903303,456.6198876,-162.2976433,"7,534.23",208.41,0.574923207,-457.1670066,366.8182723,301.42
80,9,,,"3,151.52",0.999480059,-267.8924415,371.7094227,"3,222.42",207.2773567,0.573771276,360.2593463,-435.2264563,335.5701994
80,10,,,"2,850.02",0.999368513,362.8645244,468.3276496,"2,893.12",306.28,0.657044566,-688.8208098,-335.2615029,285.49
80,11,,,"2,740.00",0.999318712,264.8461475,-520.4802973,"2,782.44",194.6712475,0.560534834,132.0274136,26.82775572,620.4427359
80,12,1,,,,,,,,,,,
80,13,,,"3,303.70",0.999525459,-489.0951606,336.9305179,"3,354.92",225.63,0.591778621,277.3371721,-447.4456547,443.91
80,14,,,198.0384191,0.9380534,-16.00949174,-49.49720716,279.4655723,262.7596104,0.624315648,215.3609253,511.3674676,504.0859319
80,15,,,4964.617873,0.999785491,-497.0138636,-210.8262649,5039.695415,4964.617873,0.999785491,-497.0138636,-210.8262649,5039.695415
80,16,,,3713.049777,0.999621777,481.8535884,445.9894265,3759.706059,349.1239121,0.68477286,-595.9277081,-512.7349017,398.5185721
80,17,,,3012.296772,0.999432566,-393.0457872,364.6901508,3069.043868,125.0323232,0.470534782,142.6642802,302.419829,371.9984817
80,18,,,4805.307055,0.999771345,-299.7356977,-595.8473231,4863.6627,238.0757896,0.603229516,167.5128084,303.1902383,619.1327816
80,19,,,3213.874043,0.999499417,-148.4325234,-418.4009363,3287.37104,170.4796181,0.53285891,14.57906573,383.8742814,448.6770005
80,20,,9,4772.858293,0.999768292,-365.6933506,-459.1466198,4841.273519,147.2694713,0.502974123,-8.145203904,443.3370187,318.3579257
80,21,,2,4735.237689,0.999764676,381.1405007,345.503411,4811.676963,152.7165722,0.510319144,-412.6187338,-140.9372974,345.9784668
81,0,,7,7327.045451,0.999900195,119.1350297,-749.7970064,7392.42084,321.9947877,0.667680975,-19.39401325,692.7770685,476.8927245
81,1,,11,3232.345906,0.999504945,-432.419249,191.4371108,3302.002139,140.5614072,0.493621307,461.105119,-73.9538937,255.6630596
81,2,,3,4337.989513,0.999720708,-300.5734944,-234.4661721,4425.360099,231.0350759,0.596825404,428.4028953,-32.87095623,549.7176258
81,3,,2,4900.00242,0.999779916,499.1569315,309.1514501,4969.335163,220.1924416,0.586591888,-514.3096147,-313.0610644,314.7127608
81,4,,5,4640.534422,0.999755189,-67.33654368,-479.5232281,4719.596933,233.1347742,0.598754538,70.12268655,646.6196563,262.0658089
81,5,,12,3988.480934,0.999670971,217.0549294,423.3665684,4064.382987,274.9000653,0.633975564,113.8991913,-219.5685815,728.0791034
81,6,1,,,,,,,,,,,
81,7,,4,3514.364989,0.999579104,-300.0702598,-485.2085316,3572.577283,343.2819933,0.681219441,431.6635574,573.7610602,496.2906059
81,8,,11,1935.770005,0.998675512,407.4283589,-181.8560442,1988.62961,234.0941952,0.599630519,-616.9356973,227.2285215,248.4317748
81,9,,12,4970.145298,0.999785958,-369.7516592,-538.3759861,5031.849541,234.527231,0.600024772,348.7579864,569.1653268,222.2494211
81,10,,11,5342.759088,0.99981424,700.0579868,17.80831551,5401.541979,295.5062061,0.649415278,-6.966435541,403.594171,691.9225205
81,11,1,,,,,,,,,,,
81,12,1,,,,,,,,,,,
81,13,1,,,,,,,,,,,
81,14,1,,,,,,,,,,,
81,15,,3,4898.951784,0.999779824,-248.3660517,535.954333,4967.854236,142.2387109,0.49599287,32.96008413,-269.904212,461.6676529
81,16,,1,2214.196257,0.998974593,130.7890824,525.3564229,2252.674216,148.1085074,0.504119715,-9.675464152,-305.3376197,454.3820124
81,17,1,,,,,,,,,,,
81,18,1,,,,,,,,,,,
81,19,,16,6082.616682,0.99985601,424.764153,-248.9081947,6167.105912,171.5014138,0.53409449,-327.7989534,334.2200073,363.3100881
81,20,,14,3519.879601,0.999580384,-321.850994,-515.642239,3572.009538,173.5048708,0.536499032,343.3259677,407.0930273,268.3311852
81,21,1,,,,,,,,,,,
81,22,,5,1750.544119,0.998397662,-512.6967162,-273.347798,1759.102623,222.4501692,0.588761231,465.0676576,166.480963,472.0135146
81,23,1,,,,,,,,,,,
81,24,,10,6474.935954,0.999872669,136.549084,-461.5185311,6561.469892,202.7954277,0.569150582,270.5053882,453.4169958,377.9021972
81,25,1,,,,,,,,,,,
81,26,,6,4635.964575,0.999754716,0.74986362,-670.2313773,4692.175342,189.9181988,0.55534421,135.0289267,525.0738514,313.7197838
81,27,,2,4541.356849,0.999744625,-436.9609091,5.761710104,4624.569054,213.6600419,0.580196594,577.9621625,-230.6079913,243.4266729
81,28,,19,4649.306573,0.999756091,-431.0094667,472.8818135,4709.885309,139.8353769,0.492587771,239.5532417,-104.1959055,462.214839
81,29,1,,,,,,,,,,,
81,30,,8,6223.77689,0.999862362,-39.71262559,487.4481885,6308.978451,246.6474266,0.610784645,217.6059137,-501.5002588,474.0154873
81,31,,3,3292.895571,0.999522435,442.9463527,-52.2843334,3366.858207,193.3868183,0.559143343,-112.2714585,-249.0190161,570.5933595
81,32,1,,,,,,,,,,,
81,33,1,,,,,,,,,,,
81,34,1,,,,,,,,,,,
81,35,1,,,,,,,,,,,
81,36,1,,,,,,,,,,,
81,37,,4,4003.65669,0.999673397,-478.5684623,124.1974931,4077.447977,343.9965184,0.681657668,770.0655398,-93.16251668,402.4809102
81,38,1,,,,,,,,,,,
81,39,,4,6478.864161,0.999872821,157.5034548,-591.3324464,6554.522171,263.8997473,0.625241731,-74.71307398,646.6942663,375.3977691
81,40,,2,2982.527444,0.999421568,467.7868933,-54.71621685,3049.58723,196.8322409,0.562857595,-430.2337542,119.1550985,456.8382584
81,41,1,,,,,,,,,,,
81,42,1,,,,,,,,,,,
81,43,,5,4859.610744,0.99977632,-465.9391218,-291.0744649,4933.002253,340.7808321,0.679677417,401.9777459,427.7412254,641.0052671
81,44,,,,,,,,,,,,
81,45,,,,,,,,,,,,
81,46,,,,,,,,,,,,
81,47,,,,,,,,,,,,
81,48,,,,,,,,,,,,
81,49,,,,,,,,,,,,
81,50,,,,,,,,,,,,
82,0,1,,,,,,,,,,,
82,1,,7,2519.267226,0.999199233,479.2323828,-326.0918458,2557.294254,150.6779308,0.507595512,-427.4508445,106.9108111,333.5138542
82,2,1,,,,,,,,,,,
